,評分,店名,連結,地點,類型,晚餐價格,午餐價格,休息日
0,4.03,6,https://tabelog.com/tw/okinawa/A4702/A470202/47022252/,,"創新, 法式料理","JPY 20,000～JPY 29,999","JPY 10,000～JPY 14,999",-
1,3.93,BACAR,https://tabelog.com/tw/okinawa/A4701/A470101/47003553/,縣政府前車站,"披薩, 義大利料理","JPY 15,000～JPY 19,999",-,星期一、星期日
2,3.78,Shunsai Dokoro Biidoro,https://tabelog.com/tw/okinawa/A4701/A470101/47002122/,美榮橋車站,"日式小酒館, 沖繩料理, 創作料理","JPY 3,000～JPY 3,999",-,星期一、星期日
3,3.77,Grand Bleu Gamin,https://tabelog.com/tw/okinawa/A4705/A470503/47025427/,,"法式料理, 鐵板燒, 旅館/酒店","JPY 15,000～JPY 19,999","JPY 4,000～JPY 4,999",-
4,3.75,Niima Soba,https://tabelog.com/tw/okinawa/A4705/A470503/47028426/,,沖繩麵,～JPY 999,～JPY 999,星期四
5,3.75,Shabushabu Kin Hon Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47023328/,美榮橋車站,"豬肉涮涮鍋, 涮涮鍋, 沖繩料理","JPY 6,000～JPY 7,999",-,-
6,3.75,Okinawa Soba Marukami,https://tabelog.com/tw/okinawa/A4705/A470503/47026984/,,"沖繩麵, 食堂, 沖繩料理",-,～JPY 999,星期日
7,3.73,MEXICO,https://tabelog.com/tw/okinawa/A4703/A470404/47000173/,,塔可,～JPY 999,～JPY 999,星期二、星期三
8,3.73,O's House,https://tabelog.com/tw/okinawa/A4701/A470101/47001572/,旭橋車站,牛排,"JPY 10,000～JPY 14,999",-,星期日
9,3.72,Matsumoto,https://tabelog.com/tw/okinawa/A4701/A470101/47027108/,縣政府前車站,"豬肉涮涮鍋, 沖繩料理, 日式小酒館","JPY 6,000～JPY 7,999",-,-
10,3.72,Captain Kangaroo,https://tabelog.com/tw/okinawa/A4702/A470202/47027004/,,漢堡,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
11,3.72,Kise,https://tabelog.com/tw/okinawa/A4702/A470201/47011807/,,"鐵板燒, 牛排, 海鮮","JPY 30,000～JPY 39,999","JPY 3,000～JPY 3,999",-
12,3.71,La Tida,https://tabelog.com/tw/okinawa/A4702/A470201/47000059/,,"西式自助餐, 歐洲料理, 咖啡店","JPY 5,000～JPY 5,999","JPY 3,000～JPY 3,999",-
13,3.71,Akata Fuu,https://tabelog.com/tw/okinawa/A4701/A470102/47000037/,首里車站,沖繩料理,"JPY 8,000～JPY 9,999",-,星期日
14,3.70,Chinese Kajousai Yankyofan,https://tabelog.com/tw/okinawa/A4701/A470101/47001716/,旭橋車站,"中國菜, 四川料理","JPY 3,000～JPY 3,999",～JPY 999,星期二
15,3.70,Nanbu Soba,https://tabelog.com/tw/okinawa/A4704/A470402/47002030/,,沖繩麵,-,～JPY 999,星期日
16,3.70,Toraichi Seiniku Ten,https://tabelog.com/tw/okinawa/A4705/A470501/47027432/,,燒肉,"JPY 8,000～JPY 9,999","JPY 1,000～JPY 1,999",星期二、星期三
17,3.70,Ralph's Burger Restaurant,https://tabelog.com/tw/okinawa/A4703/A470301/47021518/,,漢堡,-,"JPY 1,000～JPY 1,999",星期四、星期五
18,3.70,Mie,https://tabelog.com/tw/okinawa/A4701/A470101/47002034/,縣政府前車站,沖繩料理,"JPY 10,000～JPY 14,999","JPY 6,000～JPY 7,999",星期日
19,3.69,Shuri Soba,https://tabelog.com/tw/okinawa/A4701/A470102/47000012/,首里車站,沖繩麵,-,～JPY 999,星期四、星期日
20,3.69,HARRY'S Shrimp Truck,https://tabelog.com/tw/okinawa/A4705/A470503/47025855/,,"夏威夷料理, 海鮮, 啤酒屋","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
21,3.69,pizzeria da ENZO,https://tabelog.com/tw/okinawa/A4703/A470303/47015653/,,"義大利料理, 披薩, 海鮮","JPY 5,000～JPY 5,999","JPY 1,000～JPY 1,999",-
22,3.69,PUB LOUNGE EMERALD,https://tabelog.com/tw/okinawa/A4704/A470405/47001231/,,"牛排, 咖啡店, 食堂","JPY 3,000～JPY 3,999","JPY 2,000～JPY 2,999",-
23,3.68,Su-manume,https://tabelog.com/tw/okinawa/A4701/A470103/47001964/,安里車站,沖繩麵,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
24,3.68,OKINAWA SOBA EIBUN,https://tabelog.com/tw/okinawa/A4701/A470101/47017975/,牧志車站,"沖繩麵, 沖繩料理",-,～JPY 999,-
25,3.68,Akaishi Shokudo,https://tabelog.com/tw/okinawa/A4705/A470501/47000038/,,"沖繩麵, 炸豬排蓋飯, 剉冰",-,"JPY 1,000～JPY 1,999",星期一、星期二、星期三、星期日
26,3.68,Yunami Sakashita Ten,https://tabelog.com/tw/okinawa/A4701/A470103/47013540/,Omoromachi車站,沖繩麵,～JPY 999,～JPY 999,-
27,3.68,Marchinuya,https://tabelog.com/tw/okinawa/A4701/A470101/47003193/,美榮橋車站,"沖繩料理, 日式小酒館","JPY 3,000～JPY 3,999",-,星期日
28,3.68,SHIROUX,https://tabelog.com/tw/okinawa/A4703/A470303/47024416/,,創新,"JPY 20,000～JPY 29,999",-,-
29,3.68,BURRATA,https://tabelog.com/tw/okinawa/A4703/A470301/47019115/,,"披薩, 咖啡店, 日式小酒館","JPY 3,000～JPY 3,999","JPY 2,000～JPY 2,999",星期一、星期二
30,3.68,Hoshinoya Taketomijima Dining,https://tabelog.com/tw/okinawa/A4705/A470502/47015876/,,法式料理,"JPY 15,000～JPY 19,999","JPY 1,000～JPY 1,999",-
31,3.67,Nakamura Soba,https://tabelog.com/tw/okinawa/A4703/A470303/47000123/,,沖繩麵,-,"JPY 1,000～JPY 1,999",星期四
32,3.67,DOUG'S BURGER Miyakojima Honten,https://tabelog.com/tw/okinawa/A4705/A470503/47009921/,,"漢堡, 咖啡店","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
33,3.67,Kishimoto Shokudo,https://tabelog.com/tw/okinawa/A4702/A470202/47000068/,,沖繩麵,～JPY 999,～JPY 999,星期三
34,3.67,GORDIE’S ,https://tabelog.com/tw/okinawa/A4703/A470304/47002074/,,"漢堡, 咖啡店","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
35,3.67,Hitoshi Hon Ten,https://tabelog.com/tw/okinawa/A4705/A470501/47001373/,,"日式小酒館, 海鮮, 壽司","JPY 3,000～JPY 3,999",-,星期三
36,3.67,Maruyoshi Shokudo,https://tabelog.com/tw/okinawa/A4705/A470503/47000103/,,沖繩麵,-,～JPY 999,-
37,3.67,Ryukyu Sushi Tsukiji Aozora Sandaime Naha Honten,https://tabelog.com/tw/okinawa/A4701/A470101/47014544/,縣政府前車站,"壽司, 海鮮, 日本料理","JPY 8,000～JPY 9,999",-,星期日
38,3.67,BAR Owl,https://tabelog.com/tw/okinawa/A4701/A470101/47002697/,縣政府前車站,酒吧,"JPY 5,000～JPY 5,999",-,星期日
39,3.67,Tarama Gyuu Doug's Grill Miyakojima Honten,https://tabelog.com/tw/okinawa/A4705/A470503/47021184/,,"牛排, 法式小酒館, 漢堡排","JPY 10,000～JPY 14,999",-,-
40,3.67,Chinese China Shadow,https://tabelog.com/tw/okinawa/A4705/A470501/47001577/,,"中國菜, 四川料理","JPY 10,000～JPY 14,999",-,星期三
41,3.67,Kura Zushi,https://tabelog.com/tw/okinawa/A4704/A470405/47001205/,,沖繩料理,"JPY 6,000～JPY 7,999",-,星期一、星期二、星期三、星期四、星期日
42,3.66,Hitoshi Ishiganto Ten,https://tabelog.com/tw/okinawa/A4705/A470501/47001357/,,"日式小酒館, 沖繩料理, 海鮮","JPY 3,000～JPY 3,999",-,-
43,3.66,Kishimoto Shokudo Yaedake Ten,https://tabelog.com/tw/okinawa/A4702/A470202/47000957/,,沖繩麵,"JPY 1,000～JPY 1,999",～JPY 999,-
44,3.66,Takaesu Soba,https://tabelog.com/tw/okinawa/A4703/A470404/47000071/,浦添前田車站,沖繩麵,"JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期日
45,3.66,Manmi,https://tabelog.com/tw/okinawa/A4702/A470201/47000337/,,"燒肉, 烤內臟, 豬肉涮涮鍋","JPY 4,000～JPY 4,999",-,星期一、星期日
46,3.66,Sumibi Yakiniku Takesan Tei,https://tabelog.com/tw/okinawa/A4705/A470501/47000310/,,燒肉,"JPY 8,000～JPY 9,999",-,星期二
47,3.66,Corners Grill,https://tabelog.com/tw/okinawa/A4705/A470501/47004364/,,"牛排, 漢堡排, 漢堡",-,"JPY 2,000～JPY 2,999",-
48,3.66,Izakaya Deiriguchi,https://tabelog.com/tw/okinawa/A4705/A470503/47004460/,,"日式小酒館, 沖繩料理, 海鮮","JPY 4,000～JPY 4,999",-,-
49,3.65,pork tamago onigiri Naha Kuko Kokunaisen Tochaku Robi- Ten,https://tabelog.com/tw/okinawa/A4701/A470103/47020234/,那霸機場車站,"飯糰, 沖繩料理, 便當",～JPY 999,～JPY 999,-
50,3.65,Toraya,https://tabelog.com/tw/okinawa/A4701/A470103/47002599/,小祿車站,"沖繩麵, 沖繩料理",～JPY 999,～JPY 999,星期二
51,3.65,Zooton's Kumoji Ten,https://tabelog.com/tw/okinawa/A4701/A470101/47002146/,縣政府前車站,"漢堡, 咖啡店, 餐飲酒館","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
52,3.65,Charlie Takos,https://tabelog.com/tw/okinawa/A4703/A470301/47000033/,,"塔可, 墨西哥料理, 漢堡","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",星期三、星期四
53,3.65,Shunya Ban Chan,https://tabelog.com/tw/okinawa/A4705/A470501/47012017/,,"食堂, 創作料理",-,"JPY 2,000～JPY 2,999",星期三、星期四
54,3.65,Kuruma Ebi Restaurant Tamaya,https://tabelog.com/tw/okinawa/A4703/A470302/47002477/,,"天婦羅蓋飯, 海鮮","JPY 3,000～JPY 3,999","JPY 2,000～JPY 2,999",星期二、星期三
55,3.65,Niku no Hentai Shudan Shippu Horumon Kumoji Honten,https://tabelog.com/tw/okinawa/A4701/A470101/47007248/,縣政府前車站,"燒肉, 烤內臟, 牛排","JPY 10,000～JPY 14,999","JPY 4,000～JPY 4,999",-
56,3.65,Minato Shokudo,https://tabelog.com/tw/okinawa/A4705/A470503/47025515/,,"食堂, 沖繩麵",-,～JPY 999,星期三
57,3.65,3 Chome no Shima Sobaya,https://tabelog.com/tw/okinawa/A4703/A470404/47013441/,浦添前田車站,沖繩麵,-,～JPY 999,-
58,3.65,Minaaiya,https://tabelog.com/tw/okinawa/A4705/A470503/47015150/,,"豆腐料理, 沖繩麵, 飯糰",-,"JPY 1,000～JPY 1,999",星期六、星期日
59,3.65,Gusuku,https://tabelog.com/tw/okinawa/A4702/A470201/47011386/,,餐廳,"JPY 8,000～JPY 9,999","JPY 4,000～JPY 4,999",-
60,3.65,Nikai no Chuka,https://tabelog.com/tw/okinawa/A4701/A470101/47025361/,安里車站,"中國菜, 飲茶・點心","JPY 1,000～JPY 1,999",-,星期一、星期二
61,3.65,MARALUNGA,https://tabelog.com/tw/okinawa/A4705/A470503/47007277/,,"鐵板燒, 創作料理","JPY 20,000～JPY 29,999",-,-
62,3.64,Sumibi Yakiniku Yamamoto,https://tabelog.com/tw/okinawa/A4705/A470501/47001010/,,"燒肉, 烤內臟","JPY 6,000～JPY 7,999",-,-
63,3.64,Ryukyu Meika Mitsuya,https://tabelog.com/tw/okinawa/A4702/A470201/47000741/,,甜甜圈,-,～JPY 999,-
64,3.64,Waryu Ryori Sarii,https://tabelog.com/tw/okinawa/A4701/A470101/47018720/,美榮橋車站,"沖繩料理, 創作料理","JPY 8,000～JPY 9,999",-,星期日
65,3.64,Izakaya Deiriguchi Shimosatodori Ten,https://tabelog.com/tw/okinawa/A4705/A470503/47028942/,,"日式小酒館, 沖繩料理","JPY 3,000～JPY 3,999",-,星期二
66,3.64,Maison de Fujii,https://tabelog.com/tw/okinawa/A4701/A470101/47024751/,美榮橋車站,法式料理,"JPY 10,000～JPY 14,999","JPY 8,000～JPY 9,999",-
67,3.64,Shima Italian en,https://tabelog.com/tw/okinawa/A4705/A470502/47017977/,,"義大利料理, 義大利麵, 牛排","JPY 3,000～JPY 3,999",-,星期六、星期日
68,3.64,Hateruma,https://tabelog.com/tw/okinawa/A4705/A470502/47009271/,,沖繩料理,"JPY 6,000～JPY 7,999",-,星期日
69,3.63,Ryuhin Onna No Eki,https://tabelog.com/tw/okinawa/A4703/A470303/47005407/,,"剉冰, 水果聖代, 意式冰淇淋/冰淇淋","JPY 1,000～JPY 1,999","JPY 1,000～JPY 1,999",-
70,3.63,Yanbaru Dining Matsu no Kominka,https://tabelog.com/tw/okinawa/A4702/A470201/47014042/,,"豬肉涮涮鍋, 沖繩料理, 日式小酒館","JPY 5,000～JPY 5,999",-,-
71,3.63,Steak Restaurant Papoiya,https://tabelog.com/tw/okinawa/A4705/A470501/47001667/,,牛排,"JPY 10,000～JPY 14,999","JPY 10,000～JPY 14,999",星期日
72,3.63,Kato Shokudo,https://tabelog.com/tw/okinawa/A4703/A470404/47002382/,浦添前田車站,"法式料理, 法式小酒館, 洋酒吧","JPY 10,000～JPY 14,999",-,星期三
73,3.63,PASTAIONE OKINAWA,https://tabelog.com/tw/okinawa/A4701/A470101/47030584/,縣政府前車站,義大利料理,"JPY 8,000～JPY 9,999",-,-
74,3.63,Isuke,https://tabelog.com/tw/okinawa/A4701/A470101/47014248/,美榮橋車站,"壽司, 海鮮, 日本料理","JPY 20,000～JPY 29,999",-,星期一、星期日
75,3.63,Shima Cuisine Asun,https://tabelog.com/tw/okinawa/A4701/A470103/47027297/,小祿車站,"法式料理, 咖啡店","JPY 8,000～JPY 9,999","JPY 2,000～JPY 2,999",星期一、星期日
76,3.63,Sushi Yasaka,https://tabelog.com/tw/okinawa/A4701/A470101/47023359/,旭橋車站,"壽司, 海鮮, 日本料理","JPY 10,000～JPY 14,999",-,星期日
77,3.63,Shunsai Kokabu Tei,https://tabelog.com/tw/okinawa/A4701/A470101/47020369/,美榮橋車站,"日本料理, 海鮮","JPY 10,000～JPY 14,999","JPY 3,000～JPY 3,999",星期日
78,3.63,Ito Guruma,https://tabelog.com/tw/okinawa/A4701/A470101/47001446/,美榮橋車站,沖繩料理,"JPY 4,000～JPY 4,999",-,星期日
79,3.63,Nubia,https://tabelog.com/tw/okinawa/A4701/A470101/47025687/,牧志車站,"義大利料理, 洋酒吧","JPY 10,000～JPY 14,999",-,-
80,3.63,Muni,https://tabelog.com/tw/okinawa/A4701/A470101/47030606/,美榮橋車站,壽司,"JPY 40,000～JPY 49,999",-,-
81,3.62,Hawaiian Pancakes House Paanilani,https://tabelog.com/tw/okinawa/A4703/A470303/47011309/,,"咖啡店, 鬆餅, 夏威夷料理",-,"JPY 1,000～JPY 1,999",-
82,3.62,Rikko Gelato,https://tabelog.com/tw/okinawa/A4705/A470503/47007314/,,"意式冰淇淋/冰淇淋, 咖啡店","JPY 1,000～JPY 1,999",～JPY 999,星期二、星期三
